Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,766,
2,newtonsoft.json,578,
3,newtonsoft.json,598,
4,newtonsoft.json,563,
5,newtonsoft.json,571,
6,newtonsoft.json,572,
7,newtonsoft.json,587,
8,newtonsoft.json,632,
9,newtonsoft.json,577,
10,newtonsoft.json,570,
11,newtonsoft.json,567,
12,newtonsoft.json,549,
13,newtonsoft.json,565,
14,newtonsoft.json,573,
15,newtonsoft.json,577,
16,newtonsoft.json,563,
17,newtonsoft.json,586,
18,newtonsoft.json,554,
19,newtonsoft.json,754,
20,newtonsoft.json,621,
1,paket,699,
2,paket,701,
3,paket,736,
4,paket,692,
5,paket,716,
6,paket,723,
7,paket,681,
8,paket,693,
9,paket,701,
10,paket,705,
11,paket,706,
12,paket,683,
13,paket,708,
14,paket,696,
15,paket,718,
16,paket,719,
17,paket,723,
18,paket,723,
19,paket,710,
20,paket,722,
1,fake,689,
2,fake,684,
3,fake,689,
4,fake,682,
5,fake,692,
6,fake,687,
7,fake,705,
8,fake,677,
9,fake,674,
10,fake,669,
11,fake,686,
12,fake,689,
13,fake,688,
14,fake,694,
15,fake,682,
16,fake,695,
17,fake,692,
18,fake,686,
19,fake,710,
20,fake,704,
1,perseuslibs,664,
2,perseuslibs,618,
3,perseuslibs,642,
4,perseuslibs,648,
5,perseuslibs,638,
6,perseuslibs,668,
7,perseuslibs,695,
8,perseuslibs,640,
9,perseuslibs,623,
10,perseuslibs,630,
11,perseuslibs,628,
12,perseuslibs,630,
13,perseuslibs,652,
14,perseuslibs,638,
15,perseuslibs,630,
16,perseuslibs,655,
17,perseuslibs,660,
18,perseuslibs,642,
19,perseuslibs,624,
20,perseuslibs,642,
1,minet,421,
2,minet,415,
3,minet,419,
4,minet,397,
5,minet,403,
6,minet,412,
7,minet,407,
8,minet,412,
9,minet,419,
10,minet,393,
11,minet,411,
12,minet,420,
13,minet,397,
14,minet,416,
15,minet,426,
16,minet,403,
17,minet,415,
18,minet,395,
19,minet,431,
20,minet,453,
1,latticework.cs,509,
2,latticework.cs,491,
3,latticework.cs,494,
4,latticework.cs,498,
5,latticework.cs,497,
6,latticework.cs,507,
7,latticework.cs,476,
8,latticework.cs,490,
9,latticework.cs,503,
10,latticework.cs,497,
11,latticework.cs,496,
12,latticework.cs,496,
13,latticework.cs,504,
14,latticework.cs,492,
15,latticework.cs,498,
16,latticework.cs,521,
17,latticework.cs,477,
18,latticework.cs,495,
19,latticework.cs,500,
20,latticework.cs,488,
1,ecosqlserver,578,
2,ecosqlserver,575,
3,ecosqlserver,592,
4,ecosqlserver,563,
5,ecosqlserver,585,
6,ecosqlserver,574,
7,ecosqlserver,563,
8,ecosqlserver,582,
9,ecosqlserver,584,
10,ecosqlserver,586,
11,ecosqlserver,594,
12,ecosqlserver,560,
13,ecosqlserver,567,
14,ecosqlserver,581,
15,ecosqlserver,572,
16,ecosqlserver,592,
17,ecosqlserver,580,
18,ecosqlserver,569,
19,ecosqlserver,599,
20,ecosqlserver,555,
1,ecowpf,577,
2,ecowpf,566,
3,ecowpf,581,
4,ecowpf,589,
5,ecowpf,575,
6,ecowpf,596,
7,ecowpf,567,
8,ecowpf,577,
9,ecowpf,576,
10,ecowpf,583,
11,ecowpf,570,
12,ecowpf,591,
13,ecowpf,578,
14,ecowpf,582,
15,ecowpf,612,
16,ecowpf,641,
17,ecowpf,609,
18,ecowpf,598,
19,ecowpf,586,
20,ecowpf,614,
1,npgsql,375,
2,npgsql,390,
3,npgsql,367,
4,npgsql,371,
5,npgsql,375,
6,npgsql,375,
7,npgsql,370,
8,npgsql,369,
9,npgsql,373,
10,npgsql,400,
11,npgsql,384,
12,npgsql,369,
13,npgsql,368,
14,npgsql,377,
15,npgsql,375,
16,npgsql,361,
17,npgsql,379,
18,npgsql,425,
19,npgsql,370,
20,npgsql,367,
1,microsoft.entityframeworkcore,547,
2,microsoft.entityframeworkcore,522,
3,microsoft.entityframeworkcore,523,
4,microsoft.entityframeworkcore,529,
5,microsoft.entityframeworkcore,518,
6,microsoft.entityframeworkcore,532,
7,microsoft.entityframeworkcore,522,
8,microsoft.entityframeworkcore,517,
9,microsoft.entityframeworkcore,511,
10,microsoft.entityframeworkcore,523,
11,microsoft.entityframeworkcore,520,
12,microsoft.entityframeworkcore,524,
13,microsoft.entityframeworkcore,530,
14,microsoft.entityframeworkcore,520,
15,microsoft.entityframeworkcore,515,
16,microsoft.entityframeworkcore,529,
17,microsoft.entityframeworkcore,518,
18,microsoft.entityframeworkcore,711,
19,microsoft.entityframeworkcore,525,
20,microsoft.entityframeworkcore,515,
1,ecocore,6007,
2,ecocore,6566,
3,ecocore,6632,
4,ecocore,6178,
5,ecocore,6506,
6,ecocore,6329,
7,ecocore,6123,
8,ecocore,6510,
9,ecocore,6184,
10,ecocore,6490,
11,ecocore,6507,
12,ecocore,6350,
13,ecocore,6473,
14,ecocore,6580,
15,ecocore,6387,
16,ecocore,6598,
17,ecocore,6633,
18,ecocore,6726,
19,ecocore,6287,
20,ecocore,6622,
1,serilog,408,
2,serilog,408,
3,serilog,395,
4,serilog,406,
5,serilog,427,
6,serilog,385,
7,serilog,407,
8,serilog,391,
9,serilog,422,
10,serilog,403,
11,serilog,410,
12,serilog,447,
13,serilog,405,
14,serilog,406,
15,serilog,418,
16,serilog,401,
17,serilog,403,
18,serilog,415,
19,serilog,403,
20,serilog,424,
1,selenium.webdriver,603,
2,selenium.webdriver,572,
3,selenium.webdriver,736,
4,selenium.webdriver,568,
5,selenium.webdriver,558,
6,selenium.webdriver,575,
7,selenium.webdriver,601,
8,selenium.webdriver,595,
9,selenium.webdriver,604,
10,selenium.webdriver,597,
11,selenium.webdriver,600,
12,selenium.webdriver,595,
13,selenium.webdriver,578,
14,selenium.webdriver,581,
15,selenium.webdriver,600,
16,selenium.webdriver,578,
17,selenium.webdriver,584,
18,selenium.webdriver,571,
19,selenium.webdriver,583,
20,selenium.webdriver,822,
1,entityframework,547,
2,entityframework,565,
3,entityframework,535,
4,entityframework,560,
5,entityframework,547,
6,entityframework,541,
7,entityframework,518,
8,entityframework,519,
9,entityframework,520,
10,entityframework,547,
11,entityframework,534,
12,entityframework,538,
13,entityframework,541,
14,entityframework,532,
15,entityframework,513,
16,entityframework,535,
17,entityframework,547,
18,entityframework,771,
19,entityframework,540,
20,entityframework,542,
1,fake.sql,477,
2,fake.sql,495,
3,fake.sql,474,
4,fake.sql,486,
5,fake.sql,476,
6,fake.sql,475,
7,fake.sql,502,
8,fake.sql,472,
9,fake.sql,461,
10,fake.sql,478,
11,fake.sql,487,
12,fake.sql,458,
13,fake.sql,483,
