Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,4201,
2,newtonsoft.json,3431,
3,newtonsoft.json,3433,
4,newtonsoft.json,3346,
5,newtonsoft.json,3460,
1,paket,9985,
2,paket,9620,
3,paket,9765,
4,paket,9761,
5,paket,10108,
1,fake,9867,
2,fake,10124,
3,fake,10029,
4,fake,9846,
5,fake,9797,
1,perseuslibs,10141,
2,perseuslibs,9629,
3,perseuslibs,9652,
4,perseuslibs,9672,
5,perseuslibs,9649,
1,minet,9159,
2,minet,8965,
3,minet,9051,
4,minet,9290,
5,minet,9071,
1,latticework.cs,8952,
2,latticework.cs,9231,
3,latticework.cs,9367,
4,latticework.cs,9206,
5,latticework.cs,9479,
1,ecosqlserver,9432,
2,ecosqlserver,9388,
3,ecosqlserver,8816,
4,ecosqlserver,9098,
5,ecosqlserver,9236,
1,ecowpf,8870,
2,ecowpf,9512,
3,ecowpf,8935,
4,ecowpf,9112,
5,ecowpf,9459,
1,npgsql,3039,
2,npgsql,3142,
3,npgsql,3421,
4,npgsql,2984,
5,npgsql,3090,
