Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,3561,
2,newtonsoft.json,3321,
3,newtonsoft.json,2814,
4,newtonsoft.json,3093,
5,newtonsoft.json,3169,
1,paket,31158,Response status code does not indicate success: 500 (Internal Server Error).
2,paket,31142,Response status code does not indicate success: 500 (Internal Server Error).
3,paket,31036,Response status code does not indicate success: 500 (Internal Server Error).
4,paket,30874,Response status code does not indicate success: 500 (Internal Server Error).
5,paket,30736,Response status code does not indicate success: 500 (Internal Server Error).
1,fake,29470,
2,fake,8908,
3,fake,8663,
4,fake,8886,
5,fake,9382,
1,perseuslibs,8966,
2,perseuslibs,9198,
3,perseuslibs,9149,
4,perseuslibs,8825,
5,perseuslibs,9140,
1,minet,8712,
2,minet,8504,
3,minet,8522,
4,minet,8498,
5,minet,8900,
1,latticework.cs,8438,
2,latticework.cs,8425,
3,latticework.cs,8885,
4,latticework.cs,8247,
5,latticework.cs,8606,
1,ecosqlserver,8404,
2,ecosqlserver,8680,
3,ecosqlserver,8598,
4,ecosqlserver,8696,
5,ecosqlserver,8635,
1,ecowpf,8638,
2,ecowpf,8329,
3,ecowpf,8742,
4,ecowpf,8312,
5,ecowpf,8893,
1,npgsql,3016,
2,npgsql,3010,
3,npgsql,3147,
4,npgsql,3044,
5,npgsql,2943,
