Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,458,
2,newtonsoft.json,337,
3,newtonsoft.json,345,
4,newtonsoft.json,345,
5,newtonsoft.json,335,
1,paket,681,
2,paket,663,
3,paket,634,
4,paket,649,
5,paket,652,
1,fake,641,
2,fake,633,
3,fake,628,
4,fake,655,
5,fake,611,
1,perseuslibs,590,
2,perseuslibs,582,
3,perseuslibs,600,
4,perseuslibs,597,
5,perseuslibs,576,
1,minet,346,
2,minet,349,
3,minet,375,
4,minet,360,
5,minet,352,
1,latticework.cs,434,
2,latticework.cs,453,
3,latticework.cs,446,
4,latticework.cs,448,
5,latticework.cs,457,
1,ecosqlserver,539,
2,ecosqlserver,556,
3,ecosqlserver,533,
4,ecosqlserver,513,
5,ecosqlserver,503,
1,ecowpf,535,
2,ecowpf,529,
3,ecowpf,537,
4,ecowpf,515,
5,ecowpf,514,
1,npgsql,227,
2,npgsql,227,
3,npgsql,220,
4,npgsql,226,
5,npgsql,238,
