Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,774,
2,newtonsoft.json,645,
3,newtonsoft.json,649,
4,newtonsoft.json,652,
5,newtonsoft.json,635,
1,paket,1527,
2,paket,1557,
3,paket,1527,
4,paket,1548,
5,paket,1514,
1,fake,1759,
2,fake,1802,
3,fake,1754,
4,fake,1840,
5,fake,1792,
1,perseuslibs,1524,
2,perseuslibs,1521,
3,perseuslibs,1526,
4,perseuslibs,1524,
5,perseuslibs,1517,
1,minet,880,
2,minet,862,
3,minet,907,
4,minet,857,
5,minet,891,
1,latticework.cs,1185,
2,latticework.cs,1200,
3,latticework.cs,1179,
4,latticework.cs,1181,
5,latticework.cs,1174,
1,ecosqlserver,1154,
2,ecosqlserver,1152,
3,ecosqlserver,1174,
4,ecosqlserver,1169,
5,ecosqlserver,1205,
1,ecowpf,1163,
2,ecowpf,1186,
3,ecowpf,1139,
4,ecowpf,1183,
5,ecowpf,1174,
1,npgsql,428,
2,npgsql,417,
3,npgsql,425,
4,npgsql,435,
5,npgsql,430,
