Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,13885,
2,newtonsoft.json,3319,
3,newtonsoft.json,3477,
4,newtonsoft.json,3403,
5,newtonsoft.json,3613,
1,paket,10344,
2,paket,9901,
3,paket,9323,
4,paket,10043,
5,paket,9283,
1,fake,10377,
2,fake,9913,
3,fake,9809,
4,fake,9776,
5,fake,9682,
1,perseuslibs,9730,
2,perseuslibs,9717,
3,perseuslibs,9762,
4,perseuslibs,9490,
5,perseuslibs,9725,
1,minet,8935,
2,minet,9038,
3,minet,9393,
4,minet,8908,
5,minet,9068,
1,latticework.cs,9011,
2,latticework.cs,9169,
3,latticework.cs,9231,
4,latticework.cs,9191,
5,latticework.cs,9002,
1,ecosqlserver,9098,
2,ecosqlserver,9144,
3,ecosqlserver,9312,
4,ecosqlserver,9010,
5,ecosqlserver,9111,
1,ecowpf,9258,
2,ecowpf,9548,
3,ecowpf,9314,
4,ecowpf,9276,
5,ecowpf,9372,
1,npgsql,3153,
2,npgsql,3436,
3,npgsql,2992,
4,npgsql,3110,
5,npgsql,3012,
